Cycle,pp_atmos,pp_cice,pp_nemo_means,pp_nemo_rst
19500101T0000Z,23966.02,368.30,3356.41,2.06
19500501T0000Z,31098.23,599.96,14633.04,0.92
19500901T0000Z,26724.96,605.32,6950.70,0.87
19510101T0000Z,27408.70,441.19,7097.73,5.33
19510501T0000Z,29637.37,687.27,12836.14,9.34
19510901T0000Z,26676.00,854.81,10260.84,2182.11
19520101T0000Z,28960.10,536.81,7172.13,15.34
19520501T0000Z,29211.86,622.73,12083.57,5.18
19520901T0000Z,30040.66,719.63,9382.73,1755.40
19530101T0000Z,37239.99,592.24,9376.72,42.11
19530501T0000Z,40906.31,758.62,15786.45,6.73
19530901T0000Z,5721.51,813.33,9670.31,1894.94
19540101T0000Z,30639.22,461.97,6842.47,4.93
19540501T0000Z,29212.26,635.56,12914.32,5.45
19540901T0000Z,28837.87,714.55,9028.17,1784.99
19550101T0000Z,31001.81,480.20,6669.31,6.72
19550501T0000Z,33315.47,659.19,12335.80,4.96
19550901T0000Z,27435.20,767.97,9509.43,1838.84
19560101T0000Z,32605.72,506.52,7183.50,8.42
19560501T0000Z,29141.56,633.42,11860.11,4.60
19560901T0000Z,33016.57,847.28,9636.62,2105.19
19570101T0000Z,32615.53,549.10,7402.66,36.08
19570501T0000Z,28565.83,680.37,12074.03,4.25
19570901T0000Z,29364.06,700.11,9287.01,1696.52
19580101T0000Z,32636.08,549.62,7663.68,5.22
19580501T0000Z,37654.02,687.27,12380.77,13.31
19580901T0000Z,34373.74,844.73,9243.42,1875.52
19590101T0000Z,34156.49,524.66,7058.46,4.99
19590501T0000Z,28690.43,676.03,12130.94,7.55
19590901T0000Z,30320.74,792.51,9611.97,1909.73
19600101T0000Z,31232.33,491.44,7788.75,9.71
19600501T0000Z,28233.48,720.94,12820.30,7.31
19600901T0000Z,32524.59,771.68,9823.70,1832.25
19610101T0000Z,28430.29,498.48,7486.57,14.50
19610501T0000Z,32362.61,693.07,13360.30,7.50
19610901T0000Z,26734.47,695.67,9307.84,1711.23
19620101T0000Z,36741.04,546.97,7798.39,5.75
19620501T0000Z,32986.43,831.12,13140.89,12.15
19620901T0000Z,27237.96,712.35,9639.77,1777.60
19630101T0000Z,35333.62,518.68,8051.99,5.16
19630501T0000Z,37299.63,797.27,13052.87,4.05
19630901T0000Z,29269.37,772.63,9897.73,1871.45
19640101T0000Z,33026.19,501.90,7150.73,2.32
19640501T0000Z,33635.77,671.92,12387.63,6.92
19640901T0000Z,27693.05,856.94,10569.10,2071.46
19650101T0000Z,41054.70,493.02,8155.37,4.35
19650501T0000Z,34438.71,745.73,13200.67,7.55
19650901T0000Z,40204.31,891.94,10473.45,2101.37
19660101T0000Z,2.15,677.79,18.08,4.22
19660501T0000Z,33265.34,773.63,13728.02,4.00
19660901T0000Z,49528.63,1020.80,11323.26,2387.94
19670101T0000Z,32540.46,561.58,7841.61,4.32
19670501T0000Z,29046.68,654.12,13337.17,3.94
19670901T0000Z,27863.67,721.23,9688.75,1748.59
19680101T0000Z,28881.15,490.29,7383.10,2.69
19680501T0000Z,40056.01,709.74,13499.03,3.01
19680901T0000Z,27601.45,791.02,9583.69,1862.10
19690101T0000Z,29007.79,460.88,7414.96,3.32
19690501T0000Z,36505.26,666.99,13128.62,9.56
19690901T0000Z,33565.76,813.36,10175.38,1857.03
19700101T0000Z,29635.62,490.99,7679.13,6.19
19700501T0000Z,37261.10,706.82,13709.79,9.63
19700901T0000Z,36034.13,877.05,10344.31,2044.28
19710101T0000Z,40483.06,583.54,7999.94,10.94
19710501T0000Z,45567.29,750.51,14085.48,7.83
19710901T0000Z,33918.41,815.20,10573.41,2033.14
19720101T0000Z,46855.11,2121.93,28686.63,23.34
19720501T0000Z,39968.60,779.34,13194.34,8.63
19720901T0000Z,31022.39,798.31,9746.07,1932.38
19730101T0000Z,38083.18,542.17,7782.70,9.51
19730501T0000Z,37772.38,700.14,14660.14,3.91
19730901T0000Z,6354.31,747.30,4040.81,1791.44
19740101T0000Z,39645.72,661.40,8180.62,9.49
19740501T0000Z,31289.75,667.25,12967.52,3.44
19740901T0000Z,29077.67,750.62,9952.22,1857.28
19750101T0000Z,39657.50,572.29,8057.62,4.17
19750501T0000Z,32046.43,858.04,15041.08,4.18
19750901T0000Z,37824.76,827.21,9626.59,2026.02
19760101T0000Z,36162.27,732.88,9546.22,10.79
19760501T0000Z,45951.18,864.08,14703.81,6.86
19760901T0000Z,35063.98,993.83,12234.91,2233.25
19770101T0000Z,36931.55,667.49,9356.00,11.37
19770501T0000Z,27908.88,642.94,12980.84,8.68
19770901T0000Z,26272.84,740.77,9093.68,1795.44
19780101T0000Z,29245.79,507.91,7648.65,2.74
19780501T0000Z,29604.49,746.56,12732.35,2.74
19780901T0000Z,28343.86,783.64,10509.65,1842.38
19790101T0000Z,31227.31,479.52,7572.29,3.27
19790501T0000Z,27648.69,643.10,12903.58,4.78
19790901T0000Z,30088.78,744.69,9913.84,1899.03
19800101T0000Z,30519.12,449.33,7784.80,4.17
19800501T0000Z,30470.43,660.77,13387.24,10.78
19800901T0000Z,30828.93,709.10,10506.20,1850.20
19810101T0000Z,30705.29,508.92,7334.60,4.89
19810501T0000Z,29361.33,660.58,12322.04,5.82
19810901T0000Z,29183.21,743.14,9638.11,1952.24
19820101T0000Z,29483.84,505.01,7505.02,10.10
19820501T0000Z,28866.92,640.89,12699.74,4.42
19820901T0000Z,29634.93,734.80,9835.74,1858.22
19830101T0000Z,29603.37,483.31,7483.64,4.64
19830501T0000Z,29544.61,702.67,13028.64,2.67
19830901T0000Z,29422.45,763.06,9346.91,1806.60
19840101T0000Z,30087.23,522.36,7607.86,2.65
19840501T0000Z,30222.70,674.01,12739.29,3.87
19840901T0000Z,29584.95,746.72,10120.30,1903.05
19850101T0000Z,29285.37,456.15,7553.52,5.79
19850501T0000Z,27760.27,637.07,12459.86,11.56
19850901T0000Z,27437.40,727.07,9683.86,1815.77
19860101T0000Z,26417.82,455.82,6996.33,3.51
19860501T0000Z,28076.56,662.12,12505.90,3.07
19860901T0000Z,30689.42,755.36,9620.49,1900.80
19870101T0000Z,28910.91,493.78,7419.91,2.88
19870501T0000Z,27860.36,672.45,11597.42,3.63
19870901T0000Z,28529.17,713.27,9824.35,1823.61
19880101T0000Z,29482.23,523.11,7773.63,7.90
19880501T0000Z,27207.65,657.38,11994.29,14.88
19880901T0000Z,27262.81,779.37,9504.10,1865.72
19890101T0000Z,27844.21,552.31,7809.89,4.90
19890501T0000Z,12032.46,617.13,11917.34,5.77
19890901T0000Z,26952.90,704.74,9742.12,1872.32
19900101T0000Z,28174.81,521.97,7075.87,3.48
19900501T0000Z,29816.80,708.99,13415.06,4.37
19900901T0000Z,30801.20,846.71,10911.73,2174.78
19910101T0000Z,31847.28,549.22,7821.81,4.25
19910501T0000Z,28585.15,652.29,12612.15,4.17
19910901T0000Z,35359.10,864.35,10281.61,2118.72
19920101T0000Z,30431.00,508.80,7431.71,4.97
19920501T0000Z,27891.97,662.71,13143.66,8.09
19920901T0000Z,28034.10,837.49,10285.25,1840.90
19930101T0000Z,27986.45,458.95,7529.21,9.95
19930501T0000Z,31590.08,674.58,13678.47,11.77
19930901T0000Z,30524.80,793.91,10087.49,1826.81
19940101T0000Z,30644.83,545.98,8312.89,5.67
19940501T0000Z,28458.12,666.45,13066.79,4.25
19940901T0000Z,31268.36,802.54,10606.68,2046.23
19950101T0000Z,31031.26,568.77,8426.50,4.60
19950501T0000Z,28489.87,665.19,12820.25,6.89
19950901T0000Z,30841.97,842.85,10199.81,2037.68
19960101T0000Z,31544.20,496.18,7320.30,3.94
19960501T0000Z,28632.48,681.18,12214.73,19.16
19960901T0000Z,27726.69,770.99,9549.40,1774.48
19970101T0000Z,26785.09,557.89,7316.65,5.58
19970501T0000Z,30709.31,639.21,11740.96,4.92
19970901T0000Z,35533.56,780.72,10380.57,1866.97
19980101T0000Z,31252.20,496.67,8023.36,14.32
19980501T0000Z,27314.36,709.16,12916.27,4.84
19980901T0000Z,28895.80,830.52,9905.30,1888.35
19990101T0000Z,28039.61,483.02,7570.37,6.94
19990501T0000Z,27893.08,666.33,12481.80,20.90
19990901T0000Z,29156.68,703.74,9983.98,1797.49
20000101T0000Z,32121.43,501.55,8561.41,5.81
20000501T0000Z,31384.37,691.90,13007.19,2.80
20000901T0000Z,31343.12,844.13,10721.06,1898.80
20010101T0000Z,29824.60,512.31,8452.48,3.20
20010501T0000Z,28287.48,1050.74,12959.95,9.02
20010901T0000Z,26945.27,736.99,9342.37,1847.95
20020101T0000Z,28016.32,620.07,7818.94,3.11
20020501T0000Z,28257.70,693.03,13708.61,5.22
20020901T0000Z,29170.70,805.74,9805.89,1933.74
20030101T0000Z,28428.18,654.92,8435.64,3.66
20030501T0000Z,30107.88,752.50,13461.61,4.76
20030901T0000Z,28568.19,724.41,10528.79,1859.65
20040101T0000Z,30774.25,582.68,7486.98,6.45
20040501T0000Z,27682.85,827.56,13322.22,2.75
20040901T0000Z,29394.41,772.48,9948.41,1888.09
20050101T0000Z,28907.56,448.39,7129.19,3.44
20050501T0000Z,28535.54,663.15,13053.50,3.95
20050901T0000Z,30049.22,762.40,10375.00,1840.37
20060101T0000Z,27919.29,484.70,7449.27,4.16
20060501T0000Z,29463.33,772.66,13667.31,3.08
20060901T0000Z,34034.06,907.20,10280.57,2196.86
20070101T0000Z,28986.16,504.34,7493.75,10.69
20070501T0000Z,27375.11,625.78,12168.13,3.86
20070901T0000Z,26476.79,699.10,9276.60,1819.27
20080101T0000Z,26777.34,432.25,7346.63,7.31
20080501T0000Z,27676.40,636.85,12915.57,4.79
20080901T0000Z,27086.33,738.31,9689.57,1837.12
20090101T0000Z,29514.51,476.56,7171.27,4.42
20090501T0000Z,28416.52,667.62,12881.60,5.95
20090901T0000Z,29505.45,770.81,9871.08,1955.05
20100101T0000Z,28491.51,500.51,8116.52,8.81
20100501T0000Z,27320.14,629.69,13343.71,3.34
20100901T0000Z,27783.17,771.80,9775.58,1905.99
20110101T0000Z,27457.08,451.02,7225.07,4.12
20110501T0000Z,28251.62,653.12,12111.17,3.54
20110901T0000Z,29426.45,784.07,10525.51,1881.39
20120101T0000Z,37202.97,523.70,7380.28,2.69
20120501T0000Z,25954.23,638.53,11882.03,9.85
20120901T0000Z,33201.41,852.31,10308.54,1940.49
20130101T0000Z,36572.53,602.94,7765.28,5.67
20130501T0000Z,39967.91,865.81,16800.10,3.46
20130901T0000Z,46171.46,1375.98,11375.04,4432.31
20140101T0000Z,32158.13,683.12,8915.36,4.47
20140501T0000Z,26566.75,620.14,12471.31,4.94
20140901T0000Z,44424.96,864.78,12878.91,4245.44
